Date,Vteam,VPTS,Hteam,HPTS
2016-11-08 10:30:00,New Orleans Pelicans,94.0,Sacramento Kings,102.0
2016-11-09 07:00:00,Brooklyn Nets,96.0,New York Knicks,110.0
2016-11-09 07:00:00,Minnesota Timberwolves,123.0,Orlando Magic,107.0
2016-11-09 07:00:00,Philadelphia 76ers,115.0,Indiana Pacers,122.0
2016-11-09 07:00:00,Boston Celtics,93.0,Washington Wizards,118.0
2016-11-09 07:00:00,Utah Jazz,98.0,Charlotte Hornets,104.0
2016-11-09 07:30:00,Chicago Bulls,107.0,Atlanta Hawks,115.0
2016-11-09 08:00:00,Toronto Raptors,112.0,Oklahoma City Thunder,102.0
2016-11-09 09:00:00,Detroit Pistons,100.0,Phoenix Suns,107.0
2016-11-09 09:30:00,Houston Rockets,101.0,San Antonio Spurs,99.0
2016-11-09 10:30:00,Portland Trail Blazers,80.0,Los Angeles Clippers,111.0
2016-11-09 10:30:00,Dallas Mavericks,95.0,Golden State Warriors,116.0
2016-11-10 08:00:00,Chicago Bulls,98.0,Miami Heat,95.0
2016-11-10 08:00:00,New Orleans Pelicans,112.0,Milwaukee Bucks,106.0
2016-11-10 09:00:00,Golden State Warriors,125.0,Denver Nuggets,101.0
2016-11-10 10:30:00,Los Angeles Lakers,101.0,Sacramento Kings,91.0
2016-11-11 07:00:00,Cleveland Cavaliers,105.0,Washington Wizards,94.0
2016-11-11 07:00:00,Toronto Raptors,113.0,Charlotte Hornets,111.0
2016-11-11 07:00:00,Indiana Pacers,105.0,Philadelphia 76ers,109.0
2016-11-11 07:00:00,Utah Jazz,87.0,Orlando Magic,74.0
2016-11-11 07:30:00,New York Knicks,87.0,Boston Celtics,115.0
2016-11-11 08:00:00,Los Angeles Clippers,110.0,Oklahoma City Thunder,108.0
2016-11-11 08:30:00,Detroit Pistons,86.0,San Antonio Spurs,96.0
2016-11-11 10:00:00,Sacramento Kings,120.0,Portland Trail Blazers,122.0
2016-11-12 07:00:00,Los Angeles Lakers,126.0,New Orleans Pelicans,99.0
2016-11-12 07:00:00,Boston Celtics,105.0,Indiana Pacers,99.0
2016-11-12 07:30:00,New York Knicks,107.0,Toronto Raptors,118.0
2016-11-12 07:30:00,Philadelphia 76ers,96.0,Atlanta Hawks,117.0
2016-11-12 08:00:00,Los Angeles Clippers,119.0,Minnesota Timberwolves,105.0
2016-11-12 08:00:00,San Antonio Spurs,106.0,Houston Rockets,100.0
2016-11-12 08:00:00,Washington Wizards,95.0,Chicago Bulls,106.0
2016-11-12 08:00:00,Utah Jazz,102.0,Miami Heat,91.0
2016-11-12 08:30:00,Memphis Grizzlies,96.0,Milwaukee Bucks,106.0
2016-11-12 09:00:00,Detroit Pistons,106.0,Denver Nuggets,95.0
2016-11-12 09:00:00,Brooklyn Nets,122.0,Phoenix Suns,104.0
2016-11-13 03:30:00,Charlotte Hornets,93.0,Cleveland Cavaliers,100.0
2016-11-13 07:00:00,Los Angeles Lakers,99.0,Minnesota Timberwolves,125.0
2016-11-13 07:00:00,Orlando Magic,119.0,Oklahoma City Thunder,117.0
2016-11-13 08:00:00,Phoenix Suns,120.0,Golden State Warriors,133.0
