Date,Time,Vteam,VPTS,Hteam,HPTS
Mon Mar 27 2017,8:30 PM,Oklahoma City Thunder,92,Dallas Mavericks,91
Mon Mar 27 2017,7:30 PM,Detroit Pistons,95,New York Knicks,109
Mon Mar 27 2017,10:30 PM,Memphis Grizzlies,90,Sacramento Kings,91
Mon Mar 27 2017,8:00 PM,Cleveland Cavaliers,74,San Antonio Spurs,103
Mon Mar 27 2017,7:30 PM,Orlando Magic,112,Toronto Raptors,131
Mon Mar 27 2017,10:30 PM,New Orleans Pelicans,100,Utah Jazz,108
Tue Mar 28 2017,7:30 PM,Phoenix Suns,91,Atlanta Hawks,95
Tue Mar 28 2017,7:30 PM,Philadelphia 76ers,106,Brooklyn Nets,101
Tue Mar 28 2017,7:00 PM,Milwaukee Bucks,118,Charlotte Hornets,108
Tue Mar 28 2017,7:30 PM,Miami Heat,97,Detroit Pistons,96
Tue Mar 28 2017,8:00 PM,Golden State Warriors,113,Houston Rockets,106
Tue Mar 28 2017,7:00 PM,Minnesota Timberwolves,115,Indiana Pacers,114
Tue Mar 28 2017,10:30 PM,Washington Wizards,119,Los Angeles Lakers,108
Tue Mar 28 2017,10:00 PM,Denver Nuggets,113,Portland Trail Blazers,122
Wed Mar 29 2017,7:30 PM,Milwaukee Bucks,103,Boston Celtics,100
Wed Mar 29 2017,10:30 PM,Washington Wizards,124,Los Angeles Clippers,133
Wed Mar 29 2017,8:00 PM,Indiana Pacers,97,Memphis Grizzlies,110
Wed Mar 29 2017,8:00 PM,Dallas Mavericks,118,New Orleans Pelicans,121
Wed Mar 29 2017,7:30 PM,Miami Heat,105,New York Knicks,88
Wed Mar 29 2017,7:00 PM,Oklahoma City Thunder,114,Orlando Magic,106
Wed Mar 29 2017,7:00 PM,Atlanta Hawks,99,Philadelphia 76ers,92
Wed Mar 29 2017,10:30 PM,Utah Jazz,112,Sacramento Kings,82
Wed Mar 29 2017,9:30 PM,Golden State Warriors,110,San Antonio Spurs,98
Wed Mar 29 2017,7:30 PM,Charlotte Hornets,110,Toronto Raptors,106
Thu Mar 30 2017,8:00 PM,Cleveland Cavaliers,93,Chicago Bulls,99
Thu Mar 30 2017,7:30 PM,Brooklyn Nets,89,Detroit Pistons,90
Thu Mar 30 2017,8:00 PM,Los Angeles Lakers,104,Minnesota Timberwolves,119
Thu Mar 30 2017,10:00 PM,Los Angeles Clippers,124,Phoenix Suns,118
Thu Mar 30 2017,10:30 PM,Houston Rockets,107,Portland Trail Blazers,117
Fri Mar 31 2017,7:30 PM,Orlando Magic,116,Boston Celtics,117
Fri Mar 31 2017,7:00 PM,Denver Nuggets,114,Charlotte Hornets,122
Fri Mar 31 2017,7:30 PM,Philadelphia 76ers,105,Cleveland Cavaliers,122
Fri Mar 31 2017,10:30 PM,Houston Rockets,98,Golden State Warriors,107
Fri Mar 31 2017,8:00 PM,Dallas Mavericks,90,Memphis Grizzlies,99
Fri Mar 31 2017,8:00 PM,New York Knicks,98,Miami Heat,94
Fri Mar 31 2017,8:00 PM,Detroit Pistons,105,Milwaukee Bucks,108
Fri Mar 31 2017,8:00 PM,Sacramento Kings,89,New Orleans Pelicans,117
