Date,Vteam,VPTS,Hteam,HPTS
2017-03-15 08:00:00,Portland Trail Blazers,110.0,San Antonio Spurs,106.0
2017-03-15 08:00:00,Los Angeles Lakers,100.0,Houston Rockets,139.0
2017-03-15 08:00:00,Memphis Grizzlies,98.0,Chicago Bulls,91.0
2017-03-15 10:00:00,Sacramento Kings,107.0,Phoenix Suns,101.0
2017-03-15 10:30:00,Milwaukee Bucks,97.0,Los Angeles Clippers,96.0
2017-03-16 07:00:00,Utah Jazz,83.0,Cleveland Cavaliers,91.0
2017-03-16 07:00:00,Oklahoma City Thunder,123.0,Toronto Raptors,102.0
2017-03-16 07:30:00,Memphis Grizzlies,103.0,Atlanta Hawks,91.0
2017-03-16 07:30:00,Brooklyn Nets,121.0,New York Knicks,110.0
2017-03-16 09:00:00,Los Angeles Clippers,114.0,Denver Nuggets,129.0
2017-03-16 10:30:00,Orlando Magic,92.0,Golden State Warriors,122.0
2017-03-17 07:00:00,Chicago Bulls,107.0,Washington Wizards,112.0
2017-03-17 07:00:00,Dallas Mavericks,74.0,Philadelphia 76ers,116.0
2017-03-17 07:30:00,Boston Celtics,98.0,Brooklyn Nets,95.0
2017-03-17 07:30:00,Toronto Raptors,87.0,Detroit Pistons,75.0
2017-03-17 08:00:00,Minnesota Timberwolves,105.0,Miami Heat,123.0
2017-03-17 08:00:00,Houston Rockets,112.0,New Orleans Pelicans,128.0
2017-03-17 10:00:00,Orlando Magic,109.0,Phoenix Suns,103.0
2017-03-17 10:30:00,Milwaukee Bucks,107.0,Los Angeles Lakers,103.0
2017-03-18 03:00:00,Sacramento Kings,94.0,Oklahoma City Thunder,110.0
2017-03-18 06:00:00,Portland Trail Blazers,113.0,Atlanta Hawks,97.0
2017-03-18 07:00:00,Washington Wizards,93.0,Charlotte Hornets,98.0
2017-03-18 08:30:00,Cleveland Cavaliers,78.0,Los Angeles Clippers,108.0
2017-03-18 09:00:00,Utah Jazz,86.0,Chicago Bulls,95.0
2017-03-18 09:00:00,San Antonio Spurs,96.0,Memphis Grizzlies,104.0
2017-03-18 09:30:00,Houston Rockets,109.0,Denver Nuggets,105.0
2017-03-18 10:30:00,Milwaukee Bucks,92.0,Golden State Warriors,117.0
2017-03-19 00:00:00,Dallas Mavericks,111.0,Brooklyn Nets,104.0
2017-03-19 01:00:00,Boston Celtics,99.0,Philadelphia 76ers,105.0
2017-03-19 04:30:00,Phoenix Suns,95.0,Detroit Pistons,112.0
2017-03-19 06:00:00,Indiana Pacers,91.0,Toronto Raptors,116.0
2017-03-19 06:00:00,Minnesota Timberwolves,109.0,New Orleans Pelicans,123.0
2017-03-19 06:00:00,Portland Trail Blazers,115.0,Miami Heat,104.0
2017-03-19 07:00:00,Sacramento Kings,102.0,San Antonio Spurs,118.0
2017-03-19 09:30:00,Cleveland Cavaliers,125.0,Los Angeles Lakers,120.0
2017-03-20 07:00:00,Philadelphia 76ers,109.0,Orlando Magic,112.0
2017-03-20 07:00:00,Atlanta Hawks,90.0,Charlotte Hornets,105.0
2017-03-20 07:00:00,Utah Jazz,100.0,Indiana Pacers,107.0
2017-03-20 07:30:00,Washington Wizards,102.0,Boston Celtics,110.0
2017-03-20 08:00:00,Golden State Warriors,111.0,Oklahoma City Thunder,95.0
